,date,location,news title,news source(url),content summary,keywords,class_name
154,07/2018,SINGAPORE ,Workplace safety and health committee getting companies to focus on track record of contractors in deciding tenders,https://www.straitstimes.com/singapore/workplace-safety-and-health-committee-getting-companies-to-focus-on-track-record-of,"SINGAPORE - A committee tasked to chart a comprehensive 10-year blueprint in making Singapore workplaces safer and healthier is studying ways to help companies and developers better understand the track record of contractors when deciding on project tenders.
""This will encourage more contractors to invest in improving their safety and health track record,"" he added in a Facebook post on Tuesday (July 31).
""When the customer imposes such a requirement, it reinforces the importance of safety and health in the workplace.
Both sides also stand to gain from reduced downtime due to accidents or costs incurred because of safety lapses,"" she added.
Mrs Teo said that the efforts of these companies and individuals have ensured that over 150,000 workers go home safely each day.","contractors, workers, senior, tenders, getting, committee, safety, focus, subcontractors, workplace, health, companies, wsh, teo, record, track, deciding, company",Severe weather disruptions
155,07/2018,SYDNEY (AFP) ,"Cloud brightening, 'sun shields' to save Australia's Great Barrier Reef",https://www.straitstimes.com/asia/australianz/cloud-brightening-sun-shields-to-save-australias-great-barrier-reef,"SYDNEY (AFP) - Australia announced plans on Friday (July 20) to explore concepts such as firing salt into clouds and covering swathes of water with a thin layer of film in a bid to save the embattled Great Barrier Reef.
The Unesco World Heritage-listed reef, about the size of Japan or Italy, is reeling from two straight years of bleaching as sea temperatures rise because of climate change.
Canberra in January offered A$2 million (S$2 million) to attract innovative ideas to protect the site, which is also under pressure from farming runoff, development and the predatory crown-of-thorns starfish.
Six schemes selected out of a total of 69 submissions will be tested to see if they are feasible.
One selected concept is cloud brightening where salt crystals harvested from seawater are fired into clouds, making them more reflective and therefore deflecting solar rays back into space.","worlds, explore, great, shields, reef, cloud, australias, million, brightening, selected, world, clouds, save, water, salt, barrier, climate",Severe weather disruptions
156,07/2018,"SYDNEY • Australia announced plans yesterday to explore concepts such as firing salt into clouds and covering swathes of water with a thin layer of film in a bid to save the embattled Great Barrier Reef.

The Unesco World Heritage","Cloud brightening, 'sun shields' to save Great Barrier Reef",https://www.straitstimes.com/asia/australianz/cloud-brightening-sun-shields-to-save-great-barrier-reef,"SYDNEY • Australia announced plans yesterday to explore concepts such as firing salt into clouds and covering swathes of water with a thin layer of film in a bid to save the embattled Great Barrier Reef.
The Unesco World Heritage-listed reef, about the size of Japan or Italy, is reeling from two straight years of bleaching as sea temperatures rise because of climate change.
One selected concept is cloud brightening where salt crystals harvested from seawater are fired into clouds, making them more reflective and therefore deflecting solar rays back into space.
""The team has been looking at using a very fine nozzle to pump small droplets of salt water at the rate of several billion per second,"" he told national broadcaster ABC.
Another idea was a biodegradable ""sun shield"", where an ultra-thin film containing light-reflecting particles covers some reef waters to protect corals from heat stress.","explore, great, shields, reef, cloud, protect, million, film, brightening, selected, water, save, clouds, salt, barrier, climate",Severe weather disruptions
157,07/2016,"Singapore has unveiled its latest plan to tackle climate change and meet its targets under the Paris climate change agreement, with measures including a new heat stress information system to help the public better plan outdoor activities.

The system, which could be similar to current health advisories for haze, will be ready by the year end.

The plan was outlined in two booklets, jointly titled Climate Action Plan, announced yesterday by President Tony Tan Keng Yam at the opening ceremony of the World Cities Summit, Singapore International Water Week and CleanEnviro Summit Singapore at Marina Bay Sands.

""The Climate Action Plan outlines bold steps that Singapore is taking to achieve our 2030 carbon mitigation plan, as well as to strengthen our resilience to climate change,"" said Dr Tan.

Singapore signed the Paris Agreement on climate change in April, and aims to reduce its emissions intensity by 36 per cent from 2005 levels by 2030, and stabilise emissions with the goal of peaking around 2030.

""These are ambitious targets, given Singapore's limited options for renewable energy,"" said the National Climate Change Secretariat (NCCS), Ministry of Environment and Water Resources (MEWR) and Ministry of National Development (MND) in a statement",Singapore unveils plan in climate change fight,https://www.straitstimes.com/singapore/environment/spore-unveils-action-plan-in-climate-change-fight,"Singapore has unveiled its latest plan to tackle climate change and meet its targets under the Paris climate change agreement, with measures including a new heat stress information system to help the public better plan outdoor activities.
The plan was outlined in two booklets, jointly titled Climate Action Plan, announced yesterday by President Tony Tan Keng Yam at the opening ceremony of the World Cities Summit, Singapore International Water Week and CleanEnviro Summit Singapore at Marina Bay Sands.
""The Climate Action Plan outlines bold steps that Singapore is taking to achieve our 2030 carbon mitigation plan, as well as to strengthen our resilience to climate change,"" said Dr Tan.
Singapore signed the Paris Agreement on climate change in April, and aims to reduce its emissions intensity by 36 per cent from 2005 levels by 2030, and stabilise emissions with the goal of peaking around 2030.
""These are ambitious targets, given Singapore's limited options for renewable energy,"" said the National Climate Change Secretariat (NCCS), Ministry of Environment and Water Resources (MEWR) and Ministry of National Development (MND) in a statement.","paris, unveils, singapore, system, fight, summit, plan, water, national, change, targets, climate",Severe weather disruptions
158,04/2018,With its heavy use of coal,Australia pledges $502 million to restore Great Barrier Reef,https://www.straitstimes.com/asia/australianz/australia-pledges-502-million-to-restore-great-barrier-reef,"Canberra insists it is taking strong action to address the global threat of climate change, having set an ambitious target to reduce emissions by 26 to 28 per cent from 2005 levels by 2030.
Mr Turnbull said part of the money will be used to mitigate the impacts of climate change, but gave no details.
""Climate change is the number one threat to the Great Barrier Reef and only concerted action to cut pollution will fully protect it.""
The bulk of the new funding - just over A$200 million - was earmarked to improve water quality by changing farming practices and adopting new technologies and land management.
""The money will go towards improving water quality, working with farmers to prevent sediment, nitrogen and pesticide runoff into the reef,"" said Environment Minister Josh Frydenberg.","worlds, great, reef, coral, australia, million, pledges, quality, global, barrier, water, scientists, s502, restore, change, threat, climate",Severe weather disruptions
159,04/2018,VANCOUVER (AFP) ,'Poker face' stripped away by new-age tech,https://www.straitstimes.com/world/americas/poker-face-stripped-away-by-new-age-tech,"Sensors combined with artificial intelligence can reveal whether someone is lying, infatuated, or poised for violence, Dr Crum detailed at a big ideas TED Conference.
""It is the end of the poker face,"" Dr Crum said.
""It is really scary on one level, but on another level, it is really powerful,"" Dr Crum said.
""I realise a lot of people are having a hard time with people sharing our data, or knowing something we didn't want to share,"" Dr Crum said.
With emotion-reading rooms, smart speakers, or accessories on their way, Dr Crum is keen to see rules in place to make sure benefits are equally available to all while malicious uses are prevented.","right, newage, way, crum, used, someones, reveal, poker, stripped, able, world, dr, hard, tech, face, away",Severe weather disruptions
160,01/2018,"Nutrient deficiency leads to brown leaves

I have a number of rhapis palms in my garden and patio. They are about 1.5m to 1.6m tall. I am curious why the leaves of this plant tend to turn brown at the tips which eventually lead to the whole stalk becoming brown. Is there any treatment to prevent this?

Don Foo

Your plant could be suffering from a deficiency in potassium. The lack of this nutrient occurs in older leaves where the yellow colour starts at the leaf tip and spreads inwards.

Dead, necrotic spots will also appear in such areas. Over time, pathogenic fungi may infect these areas.

Ensure that the soil is not too compacted, regular watering is done and the plant is not growing in waterlogged ground. These factors can affect the potassium uptake by your palm.

You may want to do a soil pH level test and ensure that the value is between six and seven for optimal potassium uptake. Without improving the value of the soil pH level, any addition of a potassium",Bonsai thrives in a sunny spot and leaves of mignonette vine are edible,https://www.straitstimes.com/lifestyle/root-awakening-4,"I am curious why the leaves of this plant tend to turn brown at the tips which eventually lead to the whole stalk becoming brown.
The lack of this nutrient occurs in older leaves where the yellow colour starts at the leaf tip and spreads inwards.
These factors can affect the potassium uptake by your palm.
You may want to do a soil pH level test and ensure that the value is between six and seven for optimal potassium uptake.
Without improving the value of the soil pH level, any addition of a potassium-rich fertiliser will not be of any benefit.","uptake, ph, mignonette, soil, level, vine, leaves, plant, nutrient, sunny, brown, potassium, spot, bonsai, value, edible, nutrients, thrives",Severe weather disruptions
161,01/2018,"It appears that we cannot live without our phones. Games, videos and social media sites have occupied our lives.

The time we used to spend on activities such as reading books, going to the park or playing sports with our friends have been taken away by our phones.

Teens have defended the use of phones, saying browsing social media sites or playing games is a form of ""relaxation"".

I think this is not true.

Instead of helping us relax, most mobile games stress us out; the heat of expectation from social media places an incessant pressure on us; and most videos fill our heads with content that would be forgotten the next day.

Rather than occupy our free time, phones consume it. They take away the time to reflect and grow.

Active and deliberate steps to disconnect should be taken.

I urge parents to persuade their children to disengage from their smartphones for a while and take the time to reflect and grow.

Tan Yi Kai, 15

Secondary 3 Studen",Unplug from stressful mobile phones,https://www.straitstimes.com/forum/letters-in-print/unplug-from-stressful-mobile-phones,"It appears that we cannot live without our phones.
Games, videos and social media sites have occupied our lives.
The time we used to spend on activities such as reading books, going to the park or playing sports with our friends have been taken away by our phones.
Teens have defended the use of phones, saying browsing social media sites or playing games is a form of ""relaxation"".
I urge parents to persuade their children to disengage from their smartphones for a while and take the time to reflect and grow.","yi, playing, media, games, stressful, reflect, sites, unplug, mobile, phones, away, videos, social",Severe weather disruptions
162,01/2018,"Kim may be partly motivated by an intense need to roll back sanctions that, by all accounts, have begun to bite.

As part of the overture, Kim also agreed to a request by Moon to send a North Korean delegation to the Winter Olympics.

The South Korean President is betting that the North is far less likely to disrupt the Olympics, with missile launches or an act of terrorism, if North Korean athletes are competing.

The diplomatic tug",Kim Jong Un's overture could drive a wedge between South Korea and the US,https://www.straitstimes.com/asia/east-asia/kim-jong-uns-overture-could-drive-a-wedge-between-south-korea-and-the-us,"As part of the overture, Kim also agreed to a request by Moon to send a North Korean delegation to the Winter Olympics.
The South Korean President is betting that the North is far less likely to disrupt the Olympics, with missile launches or an act of terrorism, if North Korean athletes are competing.
The Jan 1 overture to the South came just days after Washington rallied its allies and rivals in the United Nations to support another round of tough sanctions against North Korea.
As Washington has campaigned for North Korea's isolation, a number of nations - including Mexico, Peru, Kuwait, Myanmar, Spain, Italy and Germany - have recently expelled North Korean ambassadors or reduced the number of North Korean diplomats in their countries.
And nations like the United Arab Emirates, Kuwait and Qatar have also begun phasing out North Korean workers toiling in constructions sites there to earn badly needed cash for the North Korean government.","jong, united, uns, freeze, wedge, north, korean, drive, overture, sanctions, korea, nuclear, talks, south, kim, kims",Severe weather disruptions
163,11/2017,"Eleven years may have passed, but realtor Carolyn Lim, 39, said she has yet to fully recover from the effects of a lightning strike in September 2006 which left her in a six",Changed in a flash: Life after a lightning strike,https://www.straitstimes.com/singapore/environment/changed-in-a-flash-life-after-a-lightning-strike,"Eleven years may have passed, but realtor Carolyn Lim, 39, said she has yet to fully recover from the effects of a lightning strike in September 2006 which left her in a six-week long coma.
""At that time, it felt like I was living in a nightmare,"" said Ms Lim, who also had to deal with depression in the first few months after the accident.
The question of what happens in a lightning strike surfaced after a Nov 20 incident which affected MRT trackside equipment near Bedok station.
While train occupants are protected by a conductive material that blocks electric fields and electric currents from entering, Ms Lim took the full brunt of a lightning strike while windsurfing with friends in the waters off East Coast.
Rendered unconscious, Ms Lim was saved by her life vest that kept her afloat.","strike, brain, changed, lim, life, flash, ms, lightning, electric, waterdoctors, windsurfing, visionat, waters",Severe weather disruptions
164,11/2017,"WASHINGTON • Satellite images taken this month of a North Korean naval shipyard indicate that Pyongyang is pursuing an ""aggressive schedule"" to build its first operational ballistic missile submarine, a US institute has reported.

Washington",North Korea ‘building ballistic missile submarine',https://www.straitstimes.com/asia/east-asia/north-korea-building-ballistic-missile-submarine,"WASHINGTON • Satellite images taken this month of a North Korean naval shipyard indicate that Pyongyang is pursuing an ""aggressive schedule"" to build its first operational ballistic missile submarine, a US institute has reported.
Washington-based 38 North, a North Korea monitoring project, cited images taken on Nov 5 showing activity at North Korea's Sinpo South Shipyard.
""The presence of what appear to be sections of a submarine's pressure hull in the yards suggests construction of a new submarine, possibly the Sinpo-C ballistic missile submarine - the follow-on to the current Sinpo-class experimental ballistic missile submarine,"" 38 North said in a report on Thursday.
It said these appeared larger than those for North Korea's Romeo-class attack submarine.
In July, North Korean leader Kim Jong Un declared he could strike the entire continental US after test-firing the regime's second ICBM within a month - a claim disputed by American officials.","building, north, missile, korean, submarine, korea, report, south, images, ballistic, koreas",Severe weather disruptions
165,09/2017,WASHINGTON (AFP) ,Cost of climate disasters to reach half of US growth in a decade: NGO report,https://www.straitstimes.com/world/cost-of-climate-disasters-to-reach-half-of-us-growth-in-a-decade-ngo-report,"""Burning fossil fuels comes at a giant price tag which the US economy cannot afford and cannot sustain,"" said co-author Robert Watson, former chair of the Intergovernmental Panel on Climate Change, the leading scientific body on climate change.
""In the next decade, these economic losses and health costs are projected to reach at least US$360 billion annually, equal to an estimated 55 percent of the US growth,"" it added.
""These escalating costs are due to the continued use of fossil fuels triggering the climate to continue to change.""
Its figures do not include climate-related economic losses in the agricultural sector, or costs associated with heat stress on humans, it said.
The report found that 80 per cent of the energy produced and used in the United States comes from fossil fuels.","united, fuels, growth, reach, energy, ngo, economic, half, disasters, report, decade, fossil, losses, cost, change, costs, climate",Severe weather disruptions
166,05/2017,"Barber says wastED, which debuted as a three",Scrambled eggs - the dish that changed the life of Blue Hill restaurants' chef,https://www.straitstimes.com/lifestyle/food/scrambled-eggs-the-dish-that-changed-the-life-of-blue-hill-restaurants-chef,"That's last night's leftover lamb shank, ricotta, which is itself a waste product, and the vegetables we didn't serve last night.
In Burgundy they figured out to braise it in their wine, and it became an iconic dish.
When she wasn't around, my father's go-to dish was scrambled eggs.
When Barber was 12, he was at the farm when he came down with strep throat.
The finished product seemed like a thick sauce, though it was the perfect foil to toast from his so-called 200 per cent Whole Wheat Bread, made with a wheat he bred, now known as Barber wheat.","restaurants, life, thats, blue, scrambled, hill, eggs, food, barber, wheat, dish, waste, changed, throat, soil, came, chef, dan, thing",Severe weather disruptions
167,04/2017,"Last month, a team of Australian researchers used a small airplane to swoop low over the Great Barrier Reef in north Queensland.

As they peered below, their worst fears seemed to be confirmed. Large swathes of the reef ",Great Barrier Grief as bleaching cripples reef,https://www.straitstimes.com/asia/australianz/great-barrier-grief-as-bleaching-cripples-reef,"Last month, a team of Australian researchers used a small airplane to swoop low over the Great Barrier Reef in north Queensland.
As they peered below, their worst fears seemed to be confirmed.
Large swathes of the reef - the world's largest living marine structure - were ghastly white and bore the distinct marks of coral bleaching.
After weeks of aerial and underwater surveys, the study findings were released last Monday: Two-thirds of the 2,300km stretch of the Great Barrier Reef had suffered serious bleaching, mainly due to warming water temperatures.
It marked the first time scientists have observed consecutive years of mass bleaching events on the reef.","worlds, worst, marine, great, reef, weeks, grief, cripples, water, bleaching, barrier, white",Severe weather disruptions
168,02/2017,Unicef said it could not comment on the e,Becks' image badly hurt by e-mail leaks,https://www.straitstimes.com/sport/football/becks-image-badly-hurt-by-e-mail-leaks,"Beckham's team have said that some of the published e-mails were doctored by hackers, including the insertion of extra swear words.
Following the leaks, there had been a backlash against Beckham from sections of Britain's tabloid media.
Monday's Daily Mail spoke of the ""Shame of Saint Becks"", with a columnist pronouncing him ""a foul-mouthed, determined egotist"" who had used charity work as part of an ""increasingly desperate"" bid for a knighthood.
He continues to carry out charity work and fronts several advertising campaigns.
He added that Beckham deserves little of the abuse coming his way, and none at all for wishing for recognition for his charity work.","image, times, beckham, high, charity, becks, unicef, including, leaks, emails, information, world, hurt, email, badly, work",Severe weather disruptions
169,01/2017,"A new supercomputer in Singapore, much more powerful than anything else in the region, is transforming research and industry here.

Not yet a year old, the machine is already being used to design safer and more cost",New supercomputer transforming research,https://www.straitstimes.com/singapore/new-supercomputer-transforming-research,"A new supercomputer in Singapore, much more powerful than anything else in the region, is transforming research and industry here.
And it has the potential to transform research in many other areas.
Named Aspire 1, it is the heart of the National Supercomputing Centre (NSCC) Singapore jointly set up last year by the Agency for Science, Technology and Research, Nanyang Technological University (NTU), National University of Singapore (NUS) and Singapore University of Technology and Design.
In comparison, the world's fastest supercomputer, China's Sunway TaihuLight, has more than 10 million cores and purrs at about 100 times the speed of Aspire 1.
He estimates that the capacity of the supercomputer should be increased 10 times over the next five years.","computer, supercomputer, project, way, aspire, singapore, research, transforming, university, data, design, schuster",Severe weather disruptions
170,12/2016,"People mistakenly think that rosacea is not seen in Asians, but Asians with lighter skin do and can have rosacea. This being so, it is often diagnosed as other diseases, such as eczema, which mimics its signs.

June has papulopustular rosacea, which is characterised by redness, swelling and acne",Don't be red-faced over rosacea,https://www.straitstimes.com/singapore/health/dont-be-red-faced-over-rosacea,"People mistakenly think that rosacea is not seen in Asians, but Asians with lighter skin do and can have rosacea.
If this form of rosacea is misdiagnosed and topical medication for acne is applied, it can worsen the redness and sensitivity.
In the sensitive and red form of rosea (erythema-telangiectatic rosacea), the skin on the cheeks, chin, nose and forehead will be flushed.
A third form of rosacea (phymatous rosacea) typically appears after years of poorly controlled rosacea.
Treatment for rosacea involves the use of topical medications, oral medications and procedures.","red, redness, topical, nose, rosacea, dont, prevent, medications, treatment, vessels, redfaced, skin",Severe weather disruptions
171,09/2016,"FIRST COLLECTION BY NEW DESIGNER AT WAREHOUSE

The Autumn/Winter 2016 collection of British womenswear fashion brand Warehouse ",Style News,https://www.straitstimes.com/lifestyle/fashion/style-news-23,"FIRST COLLECTION BY NEW DESIGNER AT WAREHOUSEThe Autumn/Winter 2016 collection of British womenswear fashion brand Warehouse - designed by new design director Emma Cook - hits stores on Saturday.
Cook, 39, who is married with a son, says: ""I felt like it was the right move for me.
The launch of the collection will coincide with the 40-year-old brand's revamp, headed by brand consultant Alasdhair Willis, who is married to British fashion designer Stella McCartney.
The revamp includes a new brand logo, revamped e-commerce site, paper bag packaging instead of plastic bags and revised price points.
The idea is not to alienate the existing customer - just to give her and new customers something interesting and worthwhile.""","stores, british, times, fashion, revamp, price, print, revised, brand, collection, warehouse, straits",Severe weather disruptions
172,07/2016,"Hazardous petrochemicals, heat stress and falls are some of the risks faced by workers who manually clean oil tanks in refineries.

To keep its workers safe, engineering and maintenance firm CYC International created a snake",Snake-like robot enters and cleans oil tanks,https://www.straitstimes.com/singapore/manpower/snake-like-robot-enters-and-cleans-oil-tanks,"Hazardous petrochemicals, heat stress and falls are some of the risks faced by workers who manually clean oil tanks in refineries.
To keep its workers safe, engineering and maintenance firm CYC International created a snake-like robot that can be remotely controlled to enter and clean the tanks.
Besides eliminating safety and health hazards, the robot has helped increase productivity by over 70 per cent.
For its innovative idea, the firm won an award at the annual Workplace Safety and Health (WSH) Awards yesterday.
In all, 164 companies and individuals were recognised for their efforts in improving workplace safety and health.","workers, safety, cleans, award, firm, workplace, tanks, health, oil, enters, clean, wsh, robot, snakelike, work",Severe weather disruptions
173,07/2016,SINGAPORE ,Singapore unveils latest plans to tackle climate change in its Climate Action Plan,https://www.straitstimes.com/singapore/environment/singapore-unveils-latest-plans-to-tackle-climate-change-in-its-climate-action,"SINGAPORE - As Singapore moves into warmer days, the authorities are working on a new heat stress information system to help the public plan outdoor activities better.
This and other measures to fight climate change and reduce carbon emissions such piloting water treatment technologies that use less energy, were outlined in two publications titled Climate Action Plan announced on Sunday (July 10) by President Tony Tan Keng Yam.
He said that the latest plans to fight climate change fit within the Sustainable Singapore Blueprint, which contains a series of environment goals to be met by 2030.
The Climate Action Plan, which will be available to the public on the website of the National Climate Change Secretariat's (NCCS), consolidates the ongoing work of government agencies in the last few years, and upcoming strategies.
These measures build on Singapore's last national climate change strategy plan which was released in 2012.","latest, emissions, unveils, measures, singapore, plans, action, plan, treatment, tackle, water, technologies, change, national, climate",Severe weather disruptions
174,07/2016,"WORLD

Evacuation after dike breach

Torrential rain and floods across wide swathes of China have besieged cities and towns, killing more than 160 people across the country, mainly along the Yangtze River and its tributaries. Yesterday, more than 10,000 people in central Hunan province (photo) were evacuated after flooding caused a dike breach.

WORLD

Report truants, schools told

Bangladesh has ordered schools to notify the government about truant students in the wake of two deadly attacks by suspected extremists, several of whom had been missing from their universities for months. Parents are also urged to keep tabs on their children.

OPINION

What if Saddam prevailed?

How to assess if then Prime Minister Tony Blair made the right decision to lead Britain into the Iraq War in 2003? First, consider the situation in 2003, and think about what the Middle East would be like today, if Saddam Hussein was unchallenged, says Jonathan Eyal.

HOME

Sengkang West turns 10

Sengkang West residents and grassroots leaders marked the constituency's 10th anniversary at a carnival yesterday. The area now has a shopping mall and more bus services, with a hospital and more pre","What's News: July 11, 2016",https://www.straitstimes.com/world/whats-news-july-11-2016,"Yesterday, more than 10,000 people in central Hunan province (photo) were evacuated after flooding caused a dike breach.
How to assess if then Prime Minister Tony Blair made the right decision to lead Britain into the Iraq War in 2003?
First, consider the situation in 2003, and think about what the Middle East would be like today, if Saddam Hussein was unchallenged, says Jonathan Eyal.
HOMESengkang West turns 10Sengkang West residents and grassroots leaders marked the constituency's 10th anniversary at a carnival yesterday.
The area now has a shopping mall and more bus services, with a hospital and more pre-schools on the cards.","worldevacuation, dike, yangtze, wide, whats, 2016, yesterday, 11, saddam, war, west, schools, 2003",Severe weather disruptions
175,02/2022,NEW YORK (NYTIMES) ,What's at stake for global economy if Russia invades Ukraine,https://www.straitstimes.com/business/economy/whats-at-stake-for-the-global-economy-if-russia-invades-ukraine,"The promise of punishing sanctions in return by United States President Joe Biden and the potential for Russian retaliation has pushed down stock returns and driven up gas prices.
But unlike China, which is a manufacturing powerhouse and intimately woven into intricate supply chains, Russia is a minor player in the global economy.
Italy, with half the people and fewer natural resources, has an economy that is twice the size.
""Russia is incredibly unimportant in the global economy except for oil and gas,"" said Professor Jason Furman, a Harvard economist who was an adviser to then President Barack Obama.
Russia is the world's largest supplier of wheat and, with Ukraine, accounts for nearly one-quarter of total global exports.","ukraine, gas, russian, wheat, whats, economic, invades, prices, supply, sanctions, russia, global, cent, economy, stake",Severe weather disruptions
176,01/2022,(BLOOMBERG) ,'Loan sharks' get more bite with fintech,https://www.straitstimes.com/business/invest/loan-sharks-get-more-bite-with-fintech-0,"(BLOOMBERG) - Technology has resulted in a new kind of financial scourge - digital loan sharks.
He lost his job recently because the loan sharks started to demand payment from his company when he defaulted on a US$132 (S$177) loan from a mobile app.
A panel set up by the bank found that more than half of about 1,100 digital loan providers were operating illegally.
Delinquency levels for consumer credit rose in September from a year earlier, Reserve Bank of India data showed last week.
As the coronavirus surged across India, shutting factories and displacing millions of workers, Mr Rajapandian tried to prepare for the worst.","started, fintech, mr, borrowers, india, loan, bank, rajapandian, reserve, apps, bite, sharks, digital",Severe weather disruptions
177,02/2022,LONDON (BLOOMBERG) ,Cost-of-living crisis gets real in expensive day for Britons,https://www.straitstimes.com/world/europe/cost-of-living-crisis-gets-real-in-expensive-day-for-britons,"LONDON (BLOOMBERG) - The true scale of Britain's cost-of-living crisis is beginning to dawn on millions of Britons.
Households learnt on Thursday (Feb 4) that their energy bills are going to surge by almost £700 (S$1280) in April and they are facing the biggest squeeze on incomes in three decades.
The danger for Mr Sunak, who's seen as a potential successor to Mr Johnson, is that his measures will be decried as inadequate and become another source of anger among voters.
The chancellor's announcement came on the same day the BOE raised interest rates by 25 basis points to 0.5 per cent.
Deputy Governor Ben Broadbent said Britons face the biggest squeeze in real household incomes since 2011.","workers, sunak, crisis, mr, energy, costofliving, boe, bills, price, real, gets, cent, britons, squeeze, day, expensive",Severe weather disruptions
178,11/2021,GLASGOW (REUTERS) ,COP26: What's the difference between 1.5 deg C and 2 deg C of global warming?,https://www.straitstimes.com/world/europe/cop26-whats-the-difference-between-15-deg-c-and-2-deg-c-of-global-warming,"But what is the difference between 1.5 deg C and 2 deg C of warming?
""We never had such a global warming in only a few decades,"" said climate scientist Daniela Jacob at the Climate Service Centre Germany.
""Climate change is already affecting every inhabited region across the globe,"" said climate scientist Rachel Warren at the University of East Anglia.
Heat, rain, droughtMore warming to 1.5 deg C and beyond will worsen such impacts.
""For every increment of global warming, changes in extremes become larger,"" said climate scientist Sonia Seneviratne at ETH Zurich.","levels, times, whats, 15, extreme, difference, c, cop26, global, deg, scientist, warming, climate",Severe weather disruptions
179,11/2021,"Lasers can help you achieve better skin, as they are able to target various skin concerns at the same time, says Dr Chua, who uses the Pico Laser to help his patients get a better complexion. He explains that this laser treatment is able to ""break melanin and stimulate collagen remodelling to reduce pigmentation, thus creating a more even skin tone and brighter skin"".

The Pico Laser works by blasting short bursts of laser energy (the ""pico"" refers to picosecond, which is 1/1000 of a nanosecond or one trillionth of a second) into the affected areas. ""And because of its speed, the energy it produces has a photoacoustic effect that shatters the unwanted pigmentation, breaking it up into smaller pieces,"" Dr Chua elaborates.

It is this speed that makes the Pico Laser more efficient when dealing with pigmentation, as compared to conventional Nd:YAG nanosecond lasers.

In addition, the Pico Laser also uses two basic wavelengths ",From skin thinning to temporary results: Common facial laser treatment myths debunked,https://www.straitstimes.com/life/sl-aesthetic-clinic-pico-laser-common-myths,"He explains that this laser treatment is able to ""break melanin and stimulate collagen remodelling to reduce pigmentation, thus creating a more even skin tone and brighter skin"".
The Pico Laser works by blasting short bursts of laser energy (the ""pico"" refers to picosecond, which is 1/1000 of a nanosecond or one trillionth of a second) into the affected areas.
It is this speed that makes the Pico Laser more efficient when dealing with pigmentation, as compared to conventional Nd:YAG nanosecond lasers.
But more importantly, the Pico Laser requires less downtime, so you can zip in and out, and continue with your day, with no one being the wiser.
Dr Chua helps bust three common misconceptions.","target, thinning, chua, pigmentation, uses, facial, results, able, laser, temporary, myths, common, dr, wavelength, debunked, pico, treatment, skin",Severe weather disruptions
180,12/2021,"For many Australians, moderate weather increasingly feels like a luxury.

WEE WAA, AUSTRALIA (NYTIMES) ","First fires, then floods: Climate extremes batter Australia",https://www.straitstimes.com/asia/australianz/first-fires-then-floods-climate-extremes-batter-australia,"For many Australians, moderate weather increasingly feels like a luxury.
She had been trapped for days with just her cat and still didn't know when the sludge would recede.
For many Australians, moderate weather - a pleasant summer, a year without a state of emergency - increasingly feels like a luxury.
The Black Summer bush fires of 2019 and 2020 were the worst in Australia's recorded history.
Many more, like Southwell, are stranded on flood plain islands with no way to leave except by boat or helicopter, possibly until after Christmas.","floods, extremes, feels, australians, batter, worst, australias, australia, moderate, fires, summer, increasingly, boat, weather, climate",Severe weather disruptions
181,07/2021,OTTAWA (AFP) ,Military put on standby to evacuate fire-threatened towns in western Canada,https://www.straitstimes.com/world/united-states/military-put-on-standby-to-evacuate-fire-threatened-towns-in-western-canada,"OTTAWA (AFP) - Ottawa prepared Friday (July 3) to send military aircraft and other help to evacuate towns and fight more than 100 wildfires in western Canada fuelled by a record-smashing heat wave.
According to wildfire officials, at least 152 fires were active in British Columbia, 89 of them sparked in the last two days.
Experts believe the heat wave, which has triggered extreme heat alerts in areas where millions of people live, is caused by global warming.
""The dry conditions and the extreme heat in British Columbia are unprecedented,"" said Public Safety Minister Bill Blair.
Roughly 1,000 people have already fled the wildfires in British Columbia, and authorities are searching for many who have gone missing.","canada, ottawa, standby, response, premier, evacuate, military, heat, firethreatened, extreme, columbia, set, wildfires, village, british, towns, western",Severe weather disruptions
182,01/2022,NEW DELHI (THE STATESMAN/ASIA NEWS NETWORK) ,Reopening schools may be the last hope for Afghanistan: The Statesman,https://www.straitstimes.com/asia/south-asia/reopening-schools-may-be-the-last-hope-for-afghanistan-the-statesman,"Ever since the takeover in mid-August, girls in many parts of Afghanistan have not been allowed back to school beyond grade 7.
The international community, reluctant to formally recognise a Taliban-run administration, is wary the group could re-impose harsh measures seen during its previous reign two decades ago.
""We are not against education,"" Mujahid stressed.
Girls have not been allowed back in state-run schools beyond grade 7, except in about 10 of the country's 34 provinces.
""We are trying to solve these problems by the coming year,"" so that schools and universities can open,"" Mujahid said.","reopening, taliban, education, women, international, community, country, mujahid, afghanistan, open, statesman, schools, girls, hope",Severe weather disruptions
